Course_Code,Course_Title,2021_Points_R1,2021_Points_R2,2020_Points_R1,2020_Points_R2,2019_Points_R1,2019_Points_R2
DC003,Education - Primary Teaching - Gaeltacht Applicant,#489 ,,445,,473.0,#433
DC004,Education - Primary Teaching (Church of Ireland Ce,#451 ,,411,409,,#357
DC005,Education - Primary Teaching - Irish Sign Language,,,,,316.0,#316
DC009,Arts (Joint Honours) - Humanities,356  ,,376,,408.0,347
DC010,Post Primary Teacher Education - Religious Educati,384  ,,441,429,413.0,386
DC011,Post Primary Teacher Education - Religious Educati,409  ,,412,391,389.0,352
DC012,Post Primary Teacher Education - Religious Educati,409  ,,378,,415.0,#367
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,413  ,,419,,509.0,410
DC014,BA in Jazz and Contemporary Music Performance (aud,#311 ,,419,,590.0,#428
DC110,Business Studies International                    ,498  ,,465,,462.0,440
DC111,Business Studies                                  ,511  ,,488,,479.0,463
DC112,Global Business (France),542* ,,517,510,510.0,495
DC113,Global Business (Germany),484  ,,462,,476.0,440
DC114,Global Business (Spain),544  ,,522,,543.0,501
DC115,Accounting and Finance                            ,544  ,,510,,500.0,487
DC116,Global Business (USA)                             ,613* ,,579,,589.0,578
DC117,Aviation Management / Aviation Management with Pil,484  ,,476,475,487.0,463
DC118,Gnó agus Gaeilge / Business and Irish,368  ,,359,,399.0,357
DC119,Global Business (Canada)                          ,601  ,,564,,577.0,566
DC120,Computing for Business                            ,403  ,402,357,,389.0,350
DC121,Computer Science                                  ,475  ,,400,,418.0,370
DC123,Data Science,501  ,,465,,511.0,467
DC126,Actuarial Mathematics,577* ,,560,,543.0,520
DC127,Common Entry into Actuarial and Financial Mathemat,541  ,,532,520,531.0,509
DC131,Communication Studies                             ,421  ,,407,402,441.0,400
DC132,Journalism                                        ,452  ,,429,422,440.0,401
DC133,Multimedia,435  ,,411,410,451.0,403
DC155,Applied Language and Translation Studies          ,427  ,,387,,430.0,371
DC161,Analytical Science                                ,498  ,,498,489,463.0,446
DC162,Chemical and Pharmaceutical Sciences              ,531* ,,521,,498.0,488
DC163,Chemical Sciences General Entry (Undenominated Ent,466* ,,,,,
DC166,Environmental Science and Technology,423* ,,433,399,442.0,412
DC167,Physics with Astronomy,,,,,477.0,434
DC168,Genetics and Cell Biology                         ,543* ,,512,510,500.0,489
DC171,Applied Physics,,,,,433.0,402
DC173,Physics with Biomedical Sciences,,,,,458.0,402
DC175,Physics General Entry (options)                   ,400  ,,419,402,,
DC180,Biological Sciences General Entry (Undenominated E,530  ,,,,,
DC181,Biotechnology,530  ,,499,495,488.0,476
DC190,Electronic and Computer Engineering (with choice o,488  ,,413,,433.0,391
DC193,Mechatronic Engineering                           ,490  ,,411,,445.0,404
DC194,Sustainable Systems and Energy                    ,476  ,,,,,
DC195,Mechanical and Manufacturing Engineering          ,500  ,,425,,444.0,401
